№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
664;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1033";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200355;https://prom.ua/ua/Semniki-izolyatsii;V, Vmin, noindex;;Тип устройства;;зачищення ізоляції
665;"https://viatec.ua/catalog/mounting-equipment/0:0;161:99998";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200340;https://prom.ua/ua/Bokorezy;V;;Тип устройства;;розрізання дроту
666;"https://viatec.ua/catalog/mounting-equipment/0:0;161:99998";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200340;https://prom.ua/ua/Bokorezy;V, Vmin, noindex;;Тип устройства;;розрізання дроту
667;"https://viatec.ua/catalog/mounting-equipment/0:0;kolir-strichki:nabir";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V;;Тип устройства;;Набір ізоленти
668;"https://viatec.ua/catalog/mounting-equipment/0:0;kolir-strichki:nabir";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V, Vmin, noindex;;Тип устройства;;Набір ізоленти
669;"https://viatec.ua/catalog/mounting-equipment/0:0;zhivlennia:merezha";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14400803;https://prom.ua/ua/Payalniki;V;;Тип устройства;;Газовий паяльник
670;"https://viatec.ua/catalog/mounting-equipment/0:0;zhivlennia:merezha";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14400803;https://prom.ua/ua/Payalniki;V, Vmin, noindex;;Тип устройства;;Газовий паяльник
671;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:shtangencrkul";site;;0,85;1,2;152133169;Ручной инструмент;14200605;https://prom.ua/ua/Shtangentsirkuli;V;;Тип устройства;;Штангенциркуль
672;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:shtangencrkul";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200605;https://prom.ua/ua/Shtangentsirkuli;V, Vmin, noindex;;Тип устройства;;Штангенциркуль
673;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:bokorizi";site;;0,85;1,2;152133169;Ручной инструмент;14200340;https://prom.ua/ua/Bokorezy;V;;Тип устройства;;Бокорізи
674;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:bokorizi";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200340;https://prom.ua/ua/Bokorezy;V, Vmin, noindex;;Тип устройства;;Бокорізи
675;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:ploskogubci";site;;0,85;1,2;152133169;Ручной инструмент;14200341;https://prom.ua/ua/Passatizhi;V;;Тип устройства;;Плоскогубці
676;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:ploskogubci";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200341;https://prom.ua/ua/Passatizhi;V, Vmin, noindex;;Тип устройства;;Плоскогубці
677;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:kruglogubci";site;;0,85;1,2;152133169;Ручной инструмент;14200341;https://prom.ua/ua/Passatizhi;V;;Тип устройства;;Круглогубці
678;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:kruglogubci";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200341;https://prom.ua/ua/Passatizhi;V, Vmin, noindex;;Тип устройства;;Круглогубці
679;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:dovgogubci";site;;0,85;1,2;152133169;Ручной инструмент;14200341;https://prom.ua/ua/Passatizhi;V;;Тип устройства;;Довгогубці
680;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:dovgogubci";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200341;https://prom.ua/ua/Passatizhi;V, Vmin, noindex;;Тип устройства;;Довгогубці
681;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nozhivka";site;;0,85;1,2;152133169;Ручной инструмент;14200308;https://prom.ua/ua/Pily-ruchnye;V;;Тип устройства;;Ножівка ручна
682;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nozhivka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200308;https://prom.ua/ua/Pily-ruchnye;V, Vmin, noindex;;Тип устройства;;Ножівка ручна
683;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:ruletka";site;;0,85;1,2;152133169;Ручной инструмент;14200604;https://prom.ua/ua/Ruletki;V;;Тип устройства;;Рулетка
684;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:ruletka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200604;https://prom.ua/ua/Ruletki;V, Vmin, noindex;;Тип устройства;;Рулетка
685;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:riven";site;;0,85;1,2;152133169;Ручной инструмент;14201622;https://prom.ua/ua/Urovni-stroitelnye;V;;Тип устройства;;Рівень будівельний
686;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:riven";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201622;https://prom.ua/ua/Urovni-stroitelnye;V, Vmin, noindex;;Тип устройства;;Рівень будівельний
687;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi";site;;0,85;1,2;152133169;Ручной инструмент;14200347;https://prom.ua/ua/Kleschi-zazhimnye;V;;Тип устройства;;Кліщі
688;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200347;https://prom.ua/ua/Kleschi-zazhimnye;V, Vmin, noindex;;Тип устройства;;Кліщі
689;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi-santeh";site;;0,85;1,2;152133169;Ручной инструмент;14200348;https://prom.ua/ua/Kleschi-trubnye;V;;Тип устройства;;Кліщі сантехнічні
690;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi-santeh";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200348;https://prom.ua/ua/Kleschi-trubnye;V, Vmin, noindex;;Тип устройства;;Кліщі сантехнічні
691;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi-kluch";site;;0,85;1,2;152133169;Ручной инструмент;14200348;https://prom.ua/ua/Kleschi-trubnye;V;;Тип устройства;;Кліщі переставні-гайковий ключ
692;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:klishi-kluch";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200348;https://prom.ua/ua/Kleschi-trubnye;V, Vmin, noindex;;Тип устройства;;Кліщі переставні-гайковий ключ
693;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-ploska";site;;0,85;1,2;152133169;Ручной инструмент;14200310;https://prom.ua/ua/Otvertki;V;;Тип устройства;;Викрутка плоска
694;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-ploska";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200310;https://prom.ua/ua/Otvertki;V, Vmin, noindex;;Тип устройства;;Викрутка плоска
695;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-hrestovidna";site;;0,85;1,2;152133169;Ручной инструмент;14200310;https://prom.ua/ua/Otvertki;V;;Тип устройства;;Викрутка хрестовидна
696;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-hrestovidna";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200310;https://prom.ua/ua/Otvertki;V, Vmin, noindex;;Тип устройства;;Викрутка хрестовидна
697;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-torx";site;;0,85;1,2;152133169;Ручной инструмент;14200310;https://prom.ua/ua/Otvertki;V;;Тип устройства;;Викрутка Torx
698;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:vikrutka-torx";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200310;https://prom.ua/ua/Otvertki;V, Vmin, noindex;;Тип устройства;;Викрутка Torx
699;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-vikrutok";site;;0,85;1,2;152133169;Ручной инструмент;14200310;https://prom.ua/ua/Otvertki;V;;Тип устройства;;Набір викруток
700;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-vikrutok";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200310;https://prom.ua/ua/Otvertki;V, Vmin, noindex;;Тип устройства;;Набір викруток
701;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabit-bit";site;;0,85;1,2;152133169;Ручной инструмент;141702;https://prom.ua/ua/Otvertochnye-bity;V;;Тип устройства;;Набір біт
702;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabit-bit";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;141702;https://prom.ua/ua/Otvertochnye-bity;V, Vmin, noindex;;Тип устройства;;Набір біт
703;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:utrimuvach-bit";site;;0,85;1,2;152133169;Ручной инструмент;141702;https://prom.ua/ua/Otvertochnye-bity;V;;Тип устройства;;Утримувач для біт
704;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:utrimuvach-bit";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;141702;https://prom.ua/ua/Otvertochnye-bity;V, Vmin, noindex;;Тип устройства;;Утримувач для біт
705;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-shestigrannikiv";site;;0,85;1,2;152133169;Ручной инструмент;14200329;https://prom.ua/ua/Klyuchi-shestigrannye;V;;Тип устройства;;Набір шестигранників
706;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-shestigrannikiv";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200329;https://prom.ua/ua/Klyuchi-shestigrannye;V, Vmin, noindex;;Тип устройства;;Набір шестигранників
707;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-avtomobilnii";site;;0,85;1,2;152133169;Ручной инструмент;14200332;https://prom.ua/ua/Golovki-tortsevye;V;;Тип устройства;;Набір торцевих змінних головок
708;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-avtomobilnii";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200332;https://prom.ua/ua/Golovki-tortsevye;V, Vmin, noindex;;Тип устройства;;Набір торцевих змінних головок
709;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-universalnii";site;;0,85;1,2;152133169;Ручной инструмент;142004;https://prom.ua/ua/Nabory-instrumentov;V;;Тип устройства;;Набір ручних інструментів
710;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-universalnii";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142004;https://prom.ua/ua/Nabory-instrumentov;V, Vmin, noindex;;Тип устройства;;Набір ручних інструментів
711;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-pincetiv";site;;0,85;1,2;152133169;Ручной инструмент;14200390;https://prom.ua/ua/Pintsety-montazhnye;V;;Тип устройства;;Набір пінцетів технічних
712;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-pincetiv";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14200390;https://prom.ua/ua/Pintsety-montazhnye;V, Vmin, noindex;;Тип устройства;;Набір пінцетів технічних
713;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-paianna";site;;0,85;1,2;152133169;Ручной инструмент;142004;https://prom.ua/ua/Nabory-instrumentov;V;;Тип устройства;;Набір ремонт/паяння
714;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-paianna";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142004;https://prom.ua/ua/Nabory-instrumentov;V, Vmin, noindex;;Тип устройства;;Набір ремонт/паяння
715;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:gaechni-kluchi";site;;0,85;1,2;152133169;Ручной инструмент;14200378;https://prom.ua/ua/Nabory-klyuchej;V;;Тип устройства;;Набір гайкових ключів
716;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:gaechni-kluchi";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200378;https://prom.ua/ua/Nabory-klyuchej;V, Vmin, noindex;;Тип устройства;;Набір гайкових ключів
717;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-torc-golovok";site;;0,85;1,2;152133169;Ручной инструмент;14200332;https://prom.ua/ua/Golovki-tortsevye;V;;Тип устройства;;Набір торцевих ключів/головок
718;"https://viatec.ua/catalog/ruchnii-instrument/0:0;tip-instrumentu:nabir-torc-golovok";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200332;https://prom.ua/ua/Golovki-tortsevye;V, Vmin, noindex;;Тип устройства;;Набір торцевих ключів/головок
